,词语,次数
1138,斗,1
1139,贯,1
1140,口,1
1141,时长,1
1142,流,1
1143,批,1
1144,1900,1
1145,如要,1
1146,厨子,1
1147,合格,1
1148,一村,1
1149,Bgm,1
1150,旅馆,1
1151,6666,1
1152,疫情,1
1153,情人,2
1154,人数,1
1155,数分,1
1156,分布,1
1157,分布图,1
1158,终于,2
1159,养肥,1
1160,苏联,2
1161,果断,2
1162,教学,1
1163,啦,8
1164,一千,1
1165,千台,1
1166,高铁,1
1167,没用,1
1168,清白,1
1169,良心,2
1170,好好学,1
1171,好学,2
1172,多罗,1
1173,罗西,1
1174,永远,1
1175,下木,1
1176,反,2
1177,逻辑,1
1178,行为,1
1179,迷人,1
1180,不管,2
1181,不管部,1
1182,三杰,1
1183,阿,2
1184,普,3
1185,耶夫斯基,1
1186,夫斯,1
1187,夫斯基,1
1188,说实话,1
1189,实话,1
1190,人间,1
1191,惨剧,1
1192,总是,3
1193,看戏,1
1194,得,10
1195,使命,1
1196,召唤,1
1197,11,3
1198,野,1
1199,党,2
1200,？？？？？,1
1201,大佬,3
1202,白花,1
1203,隐,1
1204,相,2
1205,不能,10
1206,业大,4
1207,杈,1
1208,译为,1
1209,助理,7
1210,半步,5
1211,Ture,1
1212,爵士,3
1213,秀,3
1214,肌肉,1
1215,倒背如流,1
1216,hhh,1
1217,几百,2
1218,几百个,1
1219,百个,1
1220,接下,3
1221,3,2
1222,居多,1
1223,！！,5
1224,国内,1
1225,没人,9
1226,高能,2
1227,忠,1
1228,诚,1
1229,必须,13
1230,烂尾,7
1231,不然,1
1232,可,1
1233,不好,3
1234,保护,1
1235,新人,2
1236,233333,2
1237,喜欢,5
1238,主,5
1239,微妙,1
1240,政府,25
1241,印象,1
1242,深刻,1
1243,连了,2
1244,过于,2
1245,所以,14
1246,发,4
1247,弹幕,13
1248,不错,4
1249,对手,5
1250,客串,1
1251,制度,1
1252,不愧,1
1253,绕口令,2
1254,口令,2
1255,离职,1
1256,专家,1
1257,国外,1
1258,发票,1
1259,收据,1
1260,全人,1
1261,全人类,1
1262,木下,1
1263,很少,1
1264,五,7
1265,杰,7
1266,单,1
1267,明显,1
1268,一眼,1
1269,万年,1
1270,文员,1
1271,集团,1
1272,操作,4
1273,15,1
1274,韩国,2
1275,一部,1
1276,GCMG,1
1277,定理,1
1278,神秘,1
1279,博士,1
1280,精,3
1281,苏,1
1282,大学,4
1283,辛苦,1
1284,肝,1
1285,帝,1
1286,1,12
1287,犀利,1
1288,不重,1
1289,重要,4
1290,梅,1
1291,西,2
1292,画蛇添足,1
1293,添足,1
1294,我们仨,1
1295,中间,1
1296,环保,1
1297,老中,2
1298,老中青,2
